name,syd_n_de_dossier_cegid,syd_naf,syd_forme_juridique_sirene,syd_activite,syd_premiere_date_de_signature,syd_total_salaries,accountid
J.P.L.C.,11725,1071C,,Boulangerie et boulangerie-pâtisserie,2023-09-04,4,DA046EF9-F8A6-ED11-AAD1-000D3ADF7AEC
REMO,11917,6810Z,,Activités des marchands de biens immobiliers,2023-04-03,0,9C114E50-CCCC-ED11-B597-000D3ADF7AEC
LUCIE BRULE AUDITION,11918,4774Z,,Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé,2023-06-19,0,FD7C4FC9-44CD-ED11-B597-000D3ADF7AEC
PHARMACIE DE GAZONFIER,11341,4773Z,SELAS,Commerce de détail de produits pharmaceutiques en magasin spécialisé,2022-12-19,7,E55DB777-AD48-ED11-BBA2-000D3ADF7AEC
LICOIS MAXIME,11382,1071C,individuel,Boulangerie et boulangerie-pâtisserie,2023-06-20,8,31041573-9653-ED11-BBA2-000D3ADF7AEC
SPFPL RH,11383,6430Z,SPFPL,Fonds de placement et entités financières similaires,2025-01-08,0,80DFC287-AB53-ED11-BBA2-000D3ADF7AEC
SCI KELES,11384,6820B,SCI,Location de terrains et d'autres biens immobiliers,2023-05-31,0,3EBD1994-B853-ED11-BBA2-000D3ADF7AEC
BATARD&CO,11385,6820B,SCI,Location de terrains et d'autres biens immobiliers,2023-03-23,0,BB89B3D3-B953-ED11-BBA2-000D3ADF7AEC
LEWIS ELIZABETH,11386,6831Z,EI,Conseillère en immobilier,2022-11-02,0,D6005B14-3554-ED11-BBA2-000D3ADF7AEC
LEWIS,11389,,SCI,Immobilier,2022-12-21,0,73E6DDD0-4754-ED11-BBA2-000D3ADF7AEC
Notaire du Sud Sarthe - Le Lude (72),11390,6910Z,,Activités comptables,,0,7B80D3B1-4A54-ED11-BBA2-000D3ADF7AEC
CHARBONNIER,11394,6831Z,EI,Agences immobilières,2023-02-10,0,428DFA56-7954-ED11-BBA2-000D3ADF7AEC
ON MY HILL,11395,5510Z,SAS,Hôtels et hébergement similaire,2022-11-07,5,E3CFB809-0E55-ED11-BBA2-000D3ADF7AEC
ORPHEE,11324,9602B,SASU,Soins de beauté,2024-10-25,3,45EF5F64-7B44-ED11-BBA3-000D3ADF7AEC
FLOCOSA,11328,4711B,EURL,Commerce d'alimentation générale,2022-11-21,1,4E8FFD8D-4A45-ED11-BBA3-000D3ADF7AEC
HERRAULT Mélanie,11329,6831Z,EI,Agences immobilières,2023-02-24,0,0FBAEFC3-5745-ED11-BBA3-000D3ADF7AEC
BOUFAGUA Soumaya,11330,5610C,EI,Restauration de type rapide,2022-10-03,0,8156392A-7445-ED11-BBA3-000D3ADF7AEC
GARAGE BARTHELEMY,11331,,SARL,Entretien et réparation de véhicules,2022-11-07,2,E62D3173-3246-ED11-BBA3-000D3ADF7AEC
BARTHELEMY,11333,,SCI,Location de biens immobiliers,2022-11-07,0,B2D37C4A-4F46-ED11-BBA3-000D3ADF7AEC
COLOMBE INVEST,11354,6820B,SCI,Location de terrains et d'autres biens immobiliers,2022-11-30,0,8B634ED0-DA4E-ED11-BBA3-000D3ADF7AEC
XD CONNECTS FRANCE,08982,4619A,,Centrales d'achat non alimentaires,2022-01-27,0,443C889C-B14F-ED11-BBA3-000D3ADF7AEC
CMT FINANCES,08981,6420Z,SARL,Activités des sociétés holding,2022-01-27,0,6B52EBFD-B14F-ED11-BBA3-000D3ADF7AEC
SALMON,11366,8121Z,EURL,Nettoyage courant des bâtiments,2023-01-11,0,62E5FE08-B54F-ED11-BBA3-000D3ADF7AEC
LACS HOLDING,12374,8211Z,,Services administratifs combinés de bureau,2023-10-11,0,A83DED35-EB2A-EE11-BDF4-000D3ADF7AEC
ONZE,12816,5920Z,,Production musicale,2024-01-18,0,7C617880-B192-EE11-BE37-000D3ADF7AEC
VIBRAPRO,12852,4791A,,Vente à distance sur catalogue général,2024-02-07,0,5525E0C7-B39D-EE11-BE37-000D3ADF7AEC
BEARD&INK,12853,8211Z,,Services administratifs combinés de bureau,2024-02-07,0,87F94AC3-BC9D-EE11-BE37-000D3ADF7AEC
GREORY MICKAEL,12463,4333Z,,Travaux de revêtement des sols et des murs,2023-10-11,2,7C1002B1-B745-EE11-BE6E-000D3ADF7AEC
Vins ETC - L'Atelier du Vin,12508,4725Z,,Commerce de détail de boissons en magasin spécialisé,2023-12-20,0,E1FEE311-D34B-EE11-BE6E-000D3ADF7AEC
CIME INVESTISSEMENT,12510,6430Z,,Fonds de placement et entités financières similaires,2023-09-29,0,088A4C08-A54C-EE11-BE6E-000D3ADF7AEC
INAYA ATHLETISME,12531,9312Z,,Athlétisme,2023-10-10,1,2499EF45-8F50-EE11-BE6E-000D3ADF7AEC
CTAG IMMOBILIER,12537,6820B,,Location de terrains et d'autres biens immobiliers,2023-09-13,0,EA0A4C46-B650-EE11-BE6E-000D3ADF7AEC
BOULANGERIE DUCHET,12552,1071C,,Boulangerie et boulangerie-pâtisserie,2023-10-09,2,C65770FE-FB55-EE11-BE6F-000D3ADF7AEC
NTV NANTES,12553,5911A,,Production de films et de programmes pour la télévision,2023-09-29,0,AF104703-0656-EE11-BE6F-000D3ADF7AEC
MDB YVON VANNIER,12555,6820B,,Location de terrains et d'autres biens immobiliers,2023-09-29,0,41A9361A-1E56-EE11-BE6F-000D3ADF7AEC
LEHUEDE,12564,6820B,,Location de terrains et d'autres biens immobiliers,2023-09-26,0,A22DC269-BF57-EE11-BE6F-000D3ADF7AEC
L'incontournable immobilier La Limouzinière St Etienne de Mer Morte,12573,6831Z,,Agences immobilières,2023-11-09,1,591DF730-7D58-EE11-BE6F-000D3ADF7AEC
TM CONSEILS,12607,6622Z,,Activités des agents et courtiers d'assurances,2023-10-10,0,A11C9895-FA5D-EE11-BE6F-000D3ADF7AEC
HOLDING FORMAX,12609,7010Z,,Activités des sièges sociaux,2023-10-06,0,9DD3FAF8-0B5E-EE11-BE6F-000D3ADF7AEC
BOHEME Christophe LMNP,11009,6820B,IND,Location de terrains et d'autres biens immobiliers,2022-05-16,0,858952FC-0FD5-EC11-A7B5-002248995677
BARBE N' BLUES,11023,4791b,SASU,Vente à distance sur catalogue spécialisé,2022-05-20,0,801352CC-0FD8-EC11-A7B5-002248995677
INETHEQUE,11027,4726Z,SNC,Commerce de détail de produits à base de tabac en magasin spécialisé,2023-11-30,4,3827259E-3AD8-EC11-A7B5-002248995677
COLLINE DUFRESNE,11029,8623Z,BNC,Chirurgien Dentiste,2022-05-30,0,C4A67F63-55D8-EC11-A7B5-002248995677
ALEXANDRE DHELIN,13616,6820A,,LMNP,2024-11-22,0,554E3989-6B90-EF11-8A6A-00224899569D
BH SECURITE,13628,8010Z,,Sécurité,2024-11-29,0,787403AB-D195-EF11-8A6A-00224899569D
SCM LECLERC,13629,,,Société civile de moyen pour kinés,2024-11-15,0,694C61FA-DF95-EF11-8A6A-00224899569D
SCI MARINIERS,13631,6820B,,"Acquisition, gestion et location de biens immobiliers.",2024-12-11,0,641D4F51-F895-EF11-8A6A-00224899569D
IMPACT ICAM NANTES,13635,8542Z,,Enseignement supérieur,2024-12-02,0,16E9DB8D-7197-EF11-8A6A-00224899569D
R.U.BY,13638,,,Restauration,2024-12-17,1,A26BA3B9-959A-EF11-8A6A-00224899569D
LEDU,13642,4321A,,Travaux d'installation électrique dans tous locaux,2025-04-04,7,42857A4C-649B-EF11-8A6A-00224899569D
ALEXANDRE Benjamin,13643,4611Z,,Intermédiaires du commerce en matières premières agricoles,2025-03-03,0,58F9662E-699B-EF11-8A6A-00224899569D
ROUSSEAU SOLUTION METAL,13669,2511Z,,Fabrication de structures métalliques et de parties de structures,2025-01-06,7,B9E83651-FDA0-EF11-8A6A-00224899569D
BANCHEREAU REMI,13673,4799A,,Vente à domicile,2024-11-25,0,27997CD2-5AA2-EF11-8A6A-00224899569D
SCI VIGNERON,13559,6820B,,Location de terrains et d'autres biens immobiliers,2024-10-29,0,816AB0DD-067B-EF11-AC20-00224899569D
GREATEST WARRIORS,13569,4791B,,"La vente et le commerce en ligne de produit Hyperprotéiné type viande séchée, bouillon de Bœuf",2024-10-07,0,4B375A5E-0F7F-EF11-AC21-00224899569D
LE GOFF,13570,4334Z,,Travaux de peinture et vitrerie,2024-10-18,1,3F261C66-EE7F-EF11-AC21-00224899569D
THOMAS,13580,5630Z,,"Bar, tabac, presse",2024-12-05,1,95B3EB2F-9A81-EF11-AC21-00224899569D
CENOTE,13583,5821Z,,Edition de jeux vidéos,2024-10-25,0,45291E4C-AA84-EF11-AC21-00224899569D
ARTS ET LOIRE PAYSAGES,11012,8130Z,EURL,Services d'aménagement paysager,2022-06-09,5,520435E6-89D6-EC11-A7B5-002248995F9A
JD AUTOM,11018,3320C,EURL,Conception d'ensemble et assemblage sur site industriel,2022-10-19,0,1A05DA8E-50D7-EC11-A7B5-002248995F9A
ASNETWORK,11021,6201Z,EURL,Programmation informatique,2022-07-15,2,1DAD1566-0BD8-EC11-A7B5-002248995F9A
SARL HOUDAYER,13399,4520A,,Entretien et réparation de véhicules automobiles légers,2024-09-26,4,B4B0A601-5964-EF11-BFE2-00224899753B
CHARCUTERIE CARL AUVE,13401,1013B,,Charcuterie,2024-11-04,3,D77914AC-DD65-EF11-BFE2-00224899753B
Miguel DE SOUSA - LMNP,13909,5520Z,,Hébergement touristique et autre hébergement de courte durée,2025-03-18,0,92D60B90-DCEE-EF11-9341-002248998FE6
AU P'TIT MARCEL,13874,5610A,,Restauration traditionnelle,2025-05-19,3,A6219988-53E5-EF11-9341-00224899AFF1
MESLIER CHRISTINE,11237,8622C,IND,Autres activités des médecins spécialistes,2022-10-06,2,D1F15333-2E29-ED11-9DB1-0022489A9D7D
CHRISELO,11239,6820B,SCI,Location de terrains et d'autres biens immobiliers,2022-10-06,0,8E72C02C-D229-ED11-9DB1-0022489A9FA6
LEDRU FRANCK,11242,5610A,IND,Restauration traditionnelle,2023-02-09,2,C5FCEB73-DB29-ED11-9DB1-0022489A9FA6
LA GUERRE,11243,1071C,SAS,Boulangerie et boulangerie-pâtisserie,2022-09-14,8,4011907D-C92A-ED11-9DB1-0022489A9FA6
CARNOT,11245,6820B,SCI,Location de terrains et d'autres biens immobiliers,2022-09-14,0,C20723B6-CD2A-ED11-9DB1-0022489A9FA6
TORREFACTION LA FEVE D'OR,13545,1083Z,,Transformation du thé et du café,2024-12-11,7,BE874F0B-7779-EF11-AC20-0022489ACAD9
SNC VIEL-PELTIER,13565,5630Z,,Débits de boissons,2025-02-26,1,49FD9E73-B17C-EF11-AC20-0022489ACAD9
2 TOURS,10906,6820B,SCI,Location de terrains et d'autres biens immobiliers,2022-08-30,0,312DCEF4-FABA-EC11-983F-0022489AE0AC
DAVY Benjamin,10901,6820A,,Location de logements,2022-05-10,0,5FCA3266-B5B9-EC11-983F-0022489AE32F
LA COUR DES MIRACLES,10911,4791b,SARL,Vente à distance sur catalogue spécialisé,2022-09-01,0,962BFB38-A0BC-EC11-983F-0022489AE32F
NANI 2,14133,,,Gestion de biens immobiliers,2025-05-16,0,ADB69ED0-532B-F011-8C4D-0022489B2A5D
CHARETIER,13241,1071C,,Boulangerie,2024-09-26,1,0266C2D0-7821-EF11-840A-0022489B66E1
HORIZON,13246,6820A,,Location de logement meublé,2024-06-17,0,8D7E1DDF-5822-EF11-840A-0022489B66E1
PASSION KICK RECORDS,13212,5920Z,,Edition musicale,2024-12-04,0,6194685F-5313-EF11-9F89-0022489B66E1
123 AUDIT,13215,7112B,,Etudes techniques,2024-09-17,0,64887AF9-5D13-EF11-9F89-0022489B66E1
ATLAS CONSTRUCTION,13222,4399C,,Travaux de maçonnerie générale,2024-06-13,1,7A25E2BC-5317-EF11-9F89-0022489B66E1
LEBRUN DOMINIQUE,00003,2341Z,IND,,,0,0E6E3A83-B0E7-EB11-BACB-0022489B9951
ETABLISSEMENTS GOUBAUD,00019,0147Z,SARL,Élevage de volailles,2008-12-08,0,8CC7798F-B0E7-EB11-BACB-0022489B9951
SANTE TRAVAIL CHOLET SAUMUR,00034,8621Z,ASS,Activité des médecins généralistes,2014-05-06,0,E1C7798F-B0E7-EB11-BACB-0022489B9951
FGBL AUDIOVISUEL,00040,5911B,SARL,Production de films institutionnels et publicitaires,1900-01-01,0,5B747495-B0E7-EB11-BACB-0022489B9951
WEST ELECTRONIC & APPLICATIONS,00114,8299Z,ASS,Autres activités de soutien aux entreprises n.c.a.,2011-06-09,19,13CA37A9-B0E7-EB11-BACB-0022489B9951
OLAN (L'),00117,6820B,SCI,Location de terrains et d'autres biens immobiliers,1900-01-01,0,38CA37A9-B0E7-EB11-BACB-0022489B9951
RADICAL PRODUCTION,00121,9001Z,SASU,Arts du spectacle vivant,2008-09-24,0,477C27B6-B0E7-EB11-BACB-0022489B9951
LEROUX ,00142,,IND,,,0,BF4720BC-B0E7-EB11-BACB-0022489B9951
SPECINOV,00157,6201Z,SARL,,,0,6A1C22C2-B0E7-EB11-BACB-0022489B9951
POTET,00178,8121Z,SARL,,,0,991C22C2-B0E7-EB11-BACB-0022489B9951
CANEPI,00192,3320C,SASU,Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus indu,1900-01-01,0,394132C8-B0E7-EB11-BACB-0022489B9951
BEAUSSIER JEAN PAUL,00200,4781Z,IND,,,0,EDC02ED4-B0E7-EB11-BACB-0022489B9951
DE L'ETOILE,00203,6820B,SCI,Location de terrains et d'autres biens immobiliers,1900-01-01,0,60F732DA-B0E7-EB11-BACB-0022489B9951
LA GRAINE INFORMATIQUE,00207,6201Z,SASU,,,0,BAF732DA-B0E7-EB11-BACB-0022489B9951
COUTABLE CHRISTOPHE,00218,4520A,IND,,,0,1A422BE0-B0E7-EB11-BACB-0022489B9951
ROBIN,00327,3250A,SA,,,0,ED70F3EB-B0E7-EB11-BACB-0022489B9951
BLACK BOX,00334,5920Z,SARL,Enregistrement sonore et édition musicale,1992-07-01,0,1CB72CF4-B0E7-EB11-BACB-0022489B9951
ISOLAC VAL DE LOIRE,00354,4399D,SARL,Autres travaux spécialisés de construction,1900-01-01,0,34B72CF4-B0E7-EB11-BACB-0022489B9951
HESIODE,00369,4634Z,SAS,,,0,5DB235FA-B0E7-EB11-BACB-0022489B9951
FINANCIERE FOCH,00382,7022Z,SARL,,,0,522D0201-B1E7-EB11-BACB-0022489B9951
UNE FAMILLE UN TOIT,00404,,ASS,,,0,8786160D-B1E7-EB11-BACB-0022489B9951
LEPELLETIER,00464,8621Z,IND,,,0,83815B20-B1E7-EB11-BACB-0022489B9951
MAINE ANJOU PEINTURE,00483,4669B,EURL,,,0,C9E59027-B1E7-EB11-BACB-0022489B9951
SECURAUTO,00485,7120A,SARL,Contrôle technique automobile,2020-01-01,0,EDE59027-B1E7-EB11-BACB-0022489B9951
CHALOT,00521,4332A,SARL,,1996-06-01,0,86350D58-B1E7-EB11-BACB-0022489B9951
AGIR RECOUVREMENT,00608,8291Z,SASU,,,0,23360D58-B1E7-EB11-BACB-0022489B9951
SOMECA,00632,5010Z,SARL,,,0,79522664-B1E7-EB11-BACB-0022489B9951
PACK'REALISATIONS,00652,2829A,SA,,,0,46BD1E6A-B1E7-EB11-BACB-0022489B9951
MANACRI,00668,6820B,SCI,Location de terrains et d'autres biens immobiliers,1900-01-01,0,EF299A70-B1E7-EB11-BACB-0022489B9951
GBH BILLARD HOME,00680,4759B,EURL,,,0,A1B89877-B1E7-EB11-BACB-0022489B9951
CHRISTOPHE HERVE,00694,8130Z,SARL,,,0,ECAD378A-B1E7-EB11-BACB-0022489B9951
ROUX DEVELOPPEMENT,00708,1812Z,SASU,,,0,58A49D90-B1E7-EB11-BACB-0022489B9951
DE CATHELINEAU PHILIPPE,00715,8621Z,IND,,,0,67D9FA9E-B1E7-EB11-BACB-0022489B9951
BRIAND,00724,9602A,IND,,,0,0799D0A8-B1E7-EB11-BACB-0022489B9951
D'EXPLOITATION HULIN,00731,4752A,SARL,,,0,C0E0D2AE-B1E7-EB11-BACB-0022489B9951
CHUPIN ANDRÉ,00749,6820B,GFA,,2010-09-13,0,B03625BB-B1E7-EB11-BACB-0022489B9951
SETRI,00751,283c,SARL,,,0,003725BB-B1E7-EB11-BACB-0022489B9951
SECURAUTO SUD,00760,7120A,SARL,,,0,C5F931CD-B1E7-EB11-BACB-0022489B9951
JEAN PAUL BRULON,00781,0240Z,EURL,,,0,859044D3-B1E7-EB11-BACB-0022489B9951
VOLETS ROULANTS SERVICE,00799,2223Z,SARL,,,0,40A256DF-B1E7-EB11-BACB-0022489B9951
ANJOU EXPRESS,00809,641C,SARL,,,0,E5A256DF-B1E7-EB11-BACB-0022489B9951
DAUZINCOURT,00814,8551Z,IND,Enseignement de disciplines sportives et d'activités de loisirs,2009-01-16,0,41AD91E5-B1E7-EB11-BACB-0022489B9951
MOREAU TESSIER,00815,4520A,SARL,,,0,63AD91E5-B1E7-EB11-BACB-0022489B9951
SHELLY,00847,5829C,SARL,,,0,EB8648FF-B1E7-EB11-BACB-0022489B9951
LANDREAU,00860,0121Z,SDF,,,0,028748FF-B1E7-EB11-BACB-0022489B9951
GAUTIER DANIEL,00865,3320B,EURL,,,0,75DC9A0B-B2E7-EB11-BACB-0022489B9951
TRANSPORTS AUDOUIN,00870,4941A,EURL,,2002-07-05,0,D7DC9A0B-B2E7-EB11-BACB-0022489B9951
LABO 44,00885,3101Z,EURL,,,0,C4BF9917-B2E7-EB11-BACB-0022489B9951
DELHUMEAU,00887,6820A,SCI,,,0,4FC09917-B2E7-EB11-BACB-0022489B9951
DIFFUSION PAYS DE LOIRE,00912,4673A,SARL,,1998-03-19,0,5ADCD123-B2E7-EB11-BACB-0022489B9951
DE LA FONTAINE,00922,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-01-01,0,D136D32F-B2E7-EB11-BACB-0022489B9951
LA TETE AUX VENTS,00926,6420Z,SC,Activités des sociétés holding,2008-11-19,0,C5CC1736-B2E7-EB11-BACB-0022489B9951
CHARTRAIN DIDIER,00932,2562B,SARL,Mécanique industrielle,1900-01-01,5,CD279F3C-B2E7-EB11-BACB-0022489B9951
BOISNEAU,00939,4391B,EURL,Travaux de couverture par éléments,2008-10-06,9,E9279F3C-B2E7-EB11-BACB-0022489B9951
MIJDOM,00943,714B,EURL,,,0,816A1C49-B2E7-EB11-BACB-0022489B9951
GMCY,00951,4332A,EURL,,2000-01-01,0,38189E50-B2E7-EB11-BACB-0022489B9951
HOLDING LETERTRE,00956,6420Z,SAS,Activités des sociétés holding,2001-01-18,0,50189E50-B2E7-EB11-BACB-0022489B9951
BOUYER GUINDON,00958,4631Z,SAS,,,0,204FA256-B2E7-EB11-BACB-0022489B9951
PENISSON,00963,8621Z,IND,,,0,A7999A5C-B2E7-EB11-BACB-0022489B9951
ATELOG PAYE,00968,,SA,,,0,87E49262-B2E7-EB11-BACB-0022489B9951
SERRURERIE 53,00970,4332B,SARL,,1999-01-01,0,3BE59262-B2E7-EB11-BACB-0022489B9951
CONSTRUCTION BELLES SARTHOISES,00972,4120A,SARL,Construction de maisons individuelles,1999-01-01,6,7CB99468-B2E7-EB11-BACB-0022489B9951
STIMM,00986,1624Z,SARL,,1999-03-08,0,7584897A-B2E7-EB11-BACB-0022489B9951
L'ARDELIERE,00990,7022Z,SCI,,,0,EE401381-B2E7-EB11-BACB-0022489B9951
JULIEN CONCEPT,00992,4776Z,SARL,,1999-03-31,0,F9391C87-B2E7-EB11-BACB-0022489B9951
AVOCONSEIL,00995,6910Z,SELARL,,1999-10-28,0,A43A1C87-B2E7-EB11-BACB-0022489B9951
SANDRINE,01002,6820A,SCI,Location de logements,1999-05-03,0,AE85148D-B2E7-EB11-BACB-0022489B9951
LES TROPIQUES,01005,7022Z,SCI,,,0,C4951193-B2E7-EB11-BACB-0022489B9951
TOUZE MAURICETTE ,01006,5610A,IND,,1999-05-20,0,37D45E9A-B2E7-EB11-BACB-0022489B9951
P.P.P.L,01007,4619A,SA,Centrales d'achat non alimentaires,1999-05-10,0,A9D45E9A-B2E7-EB11-BACB-0022489B9951
BELLANGER,01011,0161Z,EURL,Activités de soutien aux cultures,1999-05-20,0,7C9C58A1-B2E7-EB11-BACB-0022489B9951
BELLANGER,01012,0111Z,IND,,1999-05-20,0,A38D59A8-B2E7-EB11-BACB-0022489B9951
CHHUOK,01013,5610A,IND,,1999-06-03,0,F08D59A8-B2E7-EB11-BACB-0022489B9951
LOISON,01014,9602A,IND,,1999-06-07,0,7335D0AE-B2E7-EB11-BACB-0022489B9951
KHA CHHUOK,01024,6820B,SCI,Location de terrains et d'autres biens immobiliers,1999-07-22,0,9C01EAB4-B2E7-EB11-BACB-0022489B9951
ROUSSEAU THIERRY,01048,,IND,,1999-11-22,0,8ACBAEC1-B2E7-EB11-BACB-0022489B9951
ARMA FINANCE,01062,6430Z,SASU,,2011-10-31,0,B3CBAEC1-B2E7-EB11-BACB-0022489B9951
VALERI,01066,3102Z,SARL,,2000-01-10,0,C169B5C7-B2E7-EB11-BACB-0022489B9951
ANCENIENNE DE SERRURERIE,01074,2562B,SARL,Mécanique industrielle,2000-01-01,0,67D630CE-B2E7-EB11-BACB-0022489B9951
ATLANTIC TRUCKS SERVICES,01076,2920Z,SAS,Fabrication de carrosseries et remorques,2012-04-30,25,3D753DD4-B2E7-EB11-BACB-0022489B9951
MVG,01077,6420Z,SARL,Activités des sociétés holding,2012-04-30,0,648097DA-B2E7-EB11-BACB-0022489B9951
RP AGENCEMENT,01083,454J,EURL,,2000-02-01,0,7A8097DA-B2E7-EB11-BACB-0022489B9951
CREA 2000,01086,6820B,SCI,Location de terrains et d'autres biens immobiliers,1900-01-01,0,C3F1D4E0-B2E7-EB11-BACB-0022489B9951
DUCROS,01090,6820B,SCI,Location de terrains et d'autres biens immobiliers,2000-02-01,0,B43BCDE6-B2E7-EB11-BACB-0022489B9951
3C,01098,9001Z,EURL,,2000-03-15,0,46ACEBEC-B2E7-EB11-BACB-0022489B9951
ALEXANDRE ET CLAUDINE,01105,9602A,SARL,,2000-04-01,0,89923EF3-B2E7-EB11-BACB-0022489B9951
MV TRANSACTIONS,01116,703A,SARL,,,0,9F017CF9-B2E7-EB11-BACB-0022489B9951
CARROSSERIE LUDOVIC JOUSSET,01119,4520A,EURL,Entretien et réparation de véhicules automobiles légers,2000-07-01,4,31B176FF-B2E7-EB11-BACB-0022489B9951
CEFIGA TOURS,01128,,GIE,,2000-06-09,0,3595AA05-B3E7-EB11-BACB-0022489B9951
DELTAPUB,01141,4649Z,EURL,,2000-07-20,0,50428418-B3E7-EB11-BACB-0022489B9951
MARTIN,01144,5630Z,IND,,2000-08-23,0,D2428418-B3E7-EB11-BACB-0022489B9951
PERFORMANCE,01148,6820B,SCI,,2000-09-07,0,2B06E425-B3E7-EB11-BACB-0022489B9951
ARISTEE,01152,1721B,SARL,Fabrication de cartonnages,2000-09-25,12,BEB0DE2B-B3E7-EB11-BACB-0022489B9951
AGI,01156,4673A,SARL,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,2001-01-16,6,5948E531-B3E7-EB11-BACB-0022489B9951
TANCHOT,01158,5610C,IND,,2000-10-01,0,B86DF537-B3E7-EB11-BACB-0022489B9951
LA MAISON D'ADAM,01167,4778C,EURL,Autres commerces de détail spécialisés divers,2001-01-01,11,DB8D053E-B3E7-EB11-BACB-0022489B9951
RUBIS,01180,6820A,SCI,Location de logements,2001-02-20,0,298E053E-B3E7-EB11-BACB-0022489B9951
FINANCIERE STEPHANE PAYE,01182,6420Z,EURL,,2001-01-25,0,9E38094A-B3E7-EB11-BACB-0022489B9951
LES CHAMPS SCI,01188,702A,SCI,,2001-02-14,0,8E39094A-B3E7-EB11-BACB-0022489B9951
BOUVET,01207,4781Z,IND,,2001-04-18,0,44AEFB63-B3E7-EB11-BACB-0022489B9951
BPM,01220,9602A,SARL,,2001-05-29,0,BAACFD69-B3E7-EB11-BACB-0022489B9951
4D TECH INDUSTRIE OUEST,01226,4669B,EURL,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,2001-05-18,1,D67C3D70-B3E7-EB11-BACB-0022489B9951
GROUPE FLORY,01230,,SA,,2001-03-31,0,10FE397C-B3E7-EB11-BACB-0022489B9951
CENTRE COMMERCIAL GRAND MAINE,01243,8299Z,GIE,Autres activités de soutien aux entreprises n.c.a.,2001-10-29,0,6D2DF882-B3E7-EB11-BACB-0022489B9951
COMPAGNIE FINANCIERE PRIVEE,01266,6420Z,SARL,,2001-12-14,0,5DBEEA90-B3E7-EB11-BACB-0022489B9951
ASS COMMERCANTS BEAUJOIRE,01268,9499Z,ASS,,2001-12-12,0,1A840C9E-B3E7-EB11-BACB-0022489B9951
ALS INFORMATIQUE,01269,,SA,,2001-12-18,0,31840C9E-B3E7-EB11-BACB-0022489B9951
ARMA DECOUP,01270,2223Z,SAS,,2012-01-16,0,CF1951A4-B3E7-EB11-BACB-0022489B9951
BOISNEAU Cyril,01282,4781Z,IND,Commerce de détail alimentaire sur éventaires et marchés,2002-01-29,3,20E6B8B0-B3E7-EB11-BACB-0022489B9951
LES FLAVIVES,01294,6820B,SCI,Location de terrains et d'autres biens immobiliers,2002-02-27,0,5892ABCA-B3E7-EB11-BACB-0022489B9951
PREVENANCE,01297,6420Z,EURL,,2002-03-18,0,E792ABCA-B3E7-EB11-BACB-0022489B9951
DEUX MAISONS,01306,6820B,SCI,Location de terrains et d'autres biens immobiliers,2002-04-09,0,AF78AAD6-B3E7-EB11-BACB-0022489B9951
WEIBEL Hubert,01307,8690E,IND,"Activités des professionnels de la rééducation, de l'appareillage et des pédicures-podologues",2002-04-09,0,530FB1DC-B3E7-EB11-BACB-0022489B9951
GARAGE BREUX COMMER,01330,,EURL,,,0,A6F3AFE8-B3E7-EB11-BACB-0022489B9951
AUCHER MICHEL,01332,1071C,IND,,2002-07-09,0,A201CCEE-B3E7-EB11-BACB-0022489B9951
DIARD CYRIAQUE,01333,8551Z,IND,,2002-07-05,0,CB01CCEE-B3E7-EB11-BACB-0022489B9951
ATEM,01339,285D,SARL,,,0,AE73CBF4-B3E7-EB11-BACB-0022489B9951
BREMOND,01341,1310Z,IND,,,0,0974CBF4-B3E7-EB11-BACB-0022489B9951
ABCM,01345,8299Z,EURL,,2002-08-30,0,8F96DBFA-B3E7-EB11-BACB-0022489B9951
GARAGE SAINT FELIX,01351,4520A,SASU,Entretien et réparation de véhicules automobiles légers,2002-09-24,0,9F8E2201-B4E7-EB11-BACB-0022489B9951
BRIDGE PLUS,01367,7912Z,SARL,Activités des voyagistes,2002-11-06,3,75AC790D-B4E7-EB11-BACB-0022489B9951
BRIDGE PLUS VOYAGES,01368,7911Z,SARL,,,0,69078513-B4E7-EB11-BACB-0022489B9951
CERELY,01369,6820B,SCI,,,0,EA078513-B4E7-EB11-BACB-0022489B9951
ROCADE LOISIRS,01380,4764Z,SA,,2002-11-16,0,06D47925-B4E7-EB11-BACB-0022489B9951
OPCO SANTE,01381,9499Z,ASS,,2003-01-10,0,832EA72D-B4E7-EB11-BACB-0022489B9951
CONTAINER CENTRALEN FRANCE,01386,4669B,EURL,,2003-01-22,0,942EA72D-B4E7-EB11-BACB-0022489B9951
L.JOUSSET,01387,6820B,SCI,Location de terrains et d'autres biens immobiliers,2003-01-21,0,E69C4634-B4E7-EB11-BACB-0022489B9951
LEBON,01389,4941A,SARL,,2003-01-29,0,0BAE433A-B4E7-EB11-BACB-0022489B9951
MSC,01407,,SARL,,2003-04-10,0,3C05AB52-B4E7-EB11-BACB-0022489B9951
IMMO-CENTRE,01408,6831Z,SARL,Agences immobilières,2003-04-22,0,43FFAC58-B4E7-EB11-BACB-0022489B9951
FAURE,01412,4334Z,IND,,2003-04-11,0,D44D466B-B4E7-EB11-BACB-0022489B9951
