ID,CrmName,RefDate,AutoCloseDate,NoClient,code_naf,composite_key,temps_code1,temps_code3,temps_code4,temps_code5,temps_code6,temps_total,pv_code1,pv_code3,pv_code4,pv_code5,pv_code6,pv_total,code1,code3,code4,code5,code6,name,forme_juridique,activite,premiere_date_signature,nb_salaries,CA,statut_caisse,nb_lignes_produits,nb_lignes_charges,nb_lignes_banque,statut_remuneration_dirigeant
29675,MIS-2020-12-01,2020-12-31,2021-04-09,00040,5911B,202000040,18.95,3.64,0.0,0.0,0.0,22.59,2177.48,433.82,0.0,0.0,0.0,2611.3,1,1,0,0,0,FGBL AUDIOVISUEL,SARL,Production de films institutionnels et publicitaires,1900-01-01,0,147819.48,0,17,36,3,1
29676,MIS-2020-12-01,2020-12-31,2021-09-30,00071,5911B,202000071,60.05,10.08,8.25,0.25,0.25,78.88,7309.28,1425.08,786.15,16.68,31.84,9569.03,1,1,1,1,1,QUADRIMAGE,SA,Production de films institutionnels et publicitaires,1989-04-21,0,0.0,-1,-1,-1,-1,-1
29677,MIS-2020-12-01,2020-12-31,2021-04-30,00114,8299Z,202000114,78.8,14.7,0.0,0.0,33.55,127.05,9515.96,2111.05,0.0,0.0,3454.48,15081.49,1,1,0,0,1,WEST ELECTRONIC & APPLICATIONS,ASS,Autres activités de soutien aux entreprises n.c.a.,2011-06-09,19,0.0,-1,-1,-1,-1,-1
29678,MIS-2020-12-01,2020-12-31,2021-08-31,00117,6820B,202000117,2.65,4.93,2.1,0.0,0.0,9.68,278.93,503.34,195.26,0.0,0.0,977.53,1,1,1,0,0,OLAN (L'),SCI,Location de terrains et d'autres biens immobiliers,1900-01-01,0,0.0,-1,-1,-1,-1,-1
29679,MIS-2020-12-01,2020-12-31,2021-05-31,00121,9001Z,202000121,39.1,25.65,2.4,0.75,2.65,70.55,5168.68,3361.0,285.25,72.44,337.41,9224.78,1,1,1,1,1,RADICAL PRODUCTION,SASU,Arts du spectacle vivant,2008-09-24,50,206162.05,1,217,670,467,1
29680,MIS-2020-12-01,2020-12-31,2021-04-09,00128,7022Z,202000128,24.8,1.0,0.0,13.88,22.15,61.83,3208.66,129.85,0.0,1328.33,2362.41,7029.25,1,1,0,1,1,ARACT,ASS,,1989-09-27,0,0.0,-1,-1,-1,-1,-1
29681,MIS-2020-12-01,2020-12-31,2021-05-04,00192,3320C,202000192,14.85,11.15,2.55,4.65,3.0,36.2,1866.45,1422.55,288.34,449.12,300.1,4326.56,1,1,1,1,1,CANEPI,SASU,Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus indu,1900-01-01,0,54551.54,0,14,119,120,1
29683,MIS-2020-12-01,2020-12-31,2021-05-31,00203,6820B,202000203,4.3,1.5,0.0,0.35,0.0,6.15,355.13,227.76,0.0,21.9,0.0,604.79,1,1,0,1,0,DE L'ETOILE,SCI,Location de terrains et d'autres biens immobiliers,1900-01-01,0,41262.36,0,16,24,11,0
29685,MIS-2020-12-01,2020-12-31,2021-06-30,00329,2612Z,202000329,23.5,5.6,2.7,0.0,8.5,40.3,2800.19,672.08,322.64,0.0,850.95,4645.86,1,1,1,0,1,NGV ELECTRONIQUE,SAS,Fabrication de cartes électroniques assemblées,2023-09-08,11,0.0,-1,-1,-1,-1,-1
29686,MIS-2020-12-01,2020-12-31,2021-05-03,00354,4399D,202000354,37.6,19.4,0.0,0.0,11.7,68.7,4614.86,2658.17,0.0,0.0,1172.13,8445.16,1,1,0,0,1,ISOLAC VAL DE LOIRE,SARL,Autres travaux spécialisés de construction,1900-01-01,0,5075097.13,0,6,82,6,1
31282,MIS-2020-09-01,2020-09-30,2021-03-31,00369,4634Z,202000369,77.57,45.88,4.5,20.0,11.08,159.03,8309.26,5264.63,496.85,1625.4,1170.01,16866.15,1,1,1,1,1,HESIODE,SAS,,2025-05-11 00:36:05.099529,0,0.0,-1,-1,-1,-1,-1
29687,MIS-2020-12-01,2020-12-31,2021-06-30,00386,8621Z,202000386,12.45,10.2,0.0,8.75,7.8,39.2,1283.09,1073.58,0.0,591.02,796.73,3744.42,1,1,0,1,1,CONTANT Alain,IND,Activité des médecins généralistes,1900-01-01,0,119859.86,0,754,170,829,0
29688,MIS-2020-12-01,2020-12-31,2021-05-11,00403,2829A,202000403,41.7,5.05,0.4,0.0,0.15,47.3,6505.71,793.76,44.59,0.0,19.1,7363.16,1,1,1,0,1,PACK'R,SASU,"Fabrication d'équipements d'emballage, de conditionnement et de pesage",1900-01-01,0,0.0,-1,-1,-1,-1,-1
29689,MIS-2020-12-01,2020-12-31,2021-03-31,00430,8720A,202000430,39.67,12.25,0.0,0.0,52.12,104.04,4820.5,1548.91,0.0,0.0,5108.29,11477.7,1,1,0,0,1,LA RUISSELEE,ASS,Hébergement social pour handicapés mentaux et malades mentaux,1900-01-01,27,1008862.76,1,752,1304,1292,0
29690,MIS-2020-12-01,2020-12-31,2021-07-11,00456,8690D,202000456,6.2,9.4,0.0,1.0,0.0,16.6,708.08,939.71,0.0,92.55,0.0,1740.34,1,1,0,1,0,DI DONATO,IND,,2025-05-11 00:36:05.099529,0,0.0,-1,-1,-1,-1,-1
29691,MIS-2020-12-01,2020-12-31,2021-05-31,00621,8121Z,202000621,46.7,33.45,2.15,0.75,0.8,83.85,5545.64,4154.09,217.62,72.44,101.88,10091.67,1,1,1,1,1,EGNS,SARL,Nettoyage courant des bâtiments,2005-03-11,0,0.0,-1,-1,-1,-1,-1
29692,MIS-2020-12-01,2020-12-31,2020-03-31,00652,2829A,202000652,0.0,0.0,0.0,0.0,3.85,3.85,0.0,0.0,0.0,0.0,490.13,490.13,0,0,0,0,1,PACK'REALISATIONS,SA,,2025-05-11 00:36:05.099529,0,0.0,-1,-1,-1,-1,-1
29693,MIS-2020-12-01,2020-12-31,2021-07-08,00668,6820B,202000668,2.35,3.05,0.0,0.0,0.0,5.4,243.51,315.66,0.0,0.0,0.0,559.17,1,1,0,0,0,MANACRI,SCI,Location de terrains et d'autres biens immobiliers,1900-01-01,0,11419.2,0,13,5,38,0
29694,MIS-2020-12-01,2020-12-31,2021-06-04,00687,8690E,202000687,4.9,0.6,0.0,0.0,0.0,5.5,940.8,115.2,0.0,0.0,0.0,1056.0,1,1,0,0,0,PORTEJOIE GILLES,IND,"Activités des professionnels de la rééducation, de l'appareillage et des pédicures-podologues",1900-01-01,0,56127.67,0,412,263,781,0
29695,MIS-2020-12-01,2020-12-31,2021-04-30,00747,6820B,202000747,7.55,0.25,0.0,0.0,0.0,7.8,761.15,26.24,0.0,0.0,0.0,787.39,1,1,0,0,0,MAVIMA,SCI,Location de terrains et d'autres biens immobiliers,2020-01-01,0,0.0,-1,-1,-1,-1,-1
29696,MIS-2020-12-01,2020-12-31,2021-06-30,00756,8621Z,202000756,14.56,2.68,0.0,6.7,0.0,23.94,1692.61,308.85,0.0,482.25,0.0,2483.71,1,1,0,1,0,PINEAU CHRISTIAN,IND,Activité des médecins généralistes,2008-09-12,0,259231.01,0,1270,510,2510,0
31284,MIS-2020-09-01,2020-09-30,2021-02-28,00796,5610A,202000796,7.4,4.6,0.0,2.5,0.25,14.75,953.06,588.74,0.0,255.12,25.01,1821.93,1,1,0,1,1,JONCHERE,IND,,2025-05-11 00:36:05.099529,0,0.0,-1,-1,-1,-1,-1
29697,MIS-2020-12-01,2020-12-31,2021-06-30,00814,8551Z,202000814,4.9,4.25,0.0,3.0,0.0,12.15,553.24,483.1,0.0,295.85,0.0,1332.19,1,1,0,1,0,DAUZINCOURT,IND,Enseignement de disciplines sportives et d'activités de loisirs,2009-01-16,0,23589.0,0,57,48,149,0
29698,MIS-2020-12-01,2020-12-31,2021-06-04,00821,6820B,202000821,5.85,2.2,0.0,1.1,0.0,9.15,572.63,326.67,0.0,73.44,0.0,972.74,1,1,0,1,0,LOISIRS,SCI,Location de terrains et d'autres biens immobiliers,1900-01-01,0,18939.04,0,16,11,15,0
29699,MIS-2020-12-01,2020-12-31,2021-05-31,00860,0121Z,202000860,27.6,14.1,0.0,0.0,0.0,41.7,2938.53,1912.04,0.0,0.0,0.0,4850.57,1,1,0,0,0,LANDREAU,SDF,,2025-05-11 00:36:05.099529,0,0.0,-1,-1,-1,-1,-1
31285,MIS-2020-09-01,2020-09-30,2021-01-31,00870,4941A,202000870,36.65,15.0,2.55,0.0,8.25,62.45,4007.03,1972.96,288.46,0.0,864.47,7132.92,1,1,1,0,1,TRANSPORTS AUDOUIN,EURL,,2002-07-05,0,0.0,-1,-1,-1,-1,-1
29700,MIS-2020-12-01,2020-12-31,2021-04-09,00922,6820B,202000922,4.5,0.1,0.0,0.0,0.0,4.6,475.97,9.96,0.0,0.0,0.0,485.93,1,1,0,0,0,DE LA FONTAINE,SCI,Location de terrains et d'autres biens immobiliers,2020-01-01,0,0.0,-1,-1,-1,-1,-1
31209,MIS-2020-08-01,2020-08-31,2021-02-28,00926,6420Z,202000926,6.05,2.0,0.2,0.35,0.0,8.6,829.43,238.78,22.04,33.24,0.0,1123.49,1,1,1,1,0,LA TETE AUX VENTS,SC,Activités des sociétés holding,2008-11-19,0,0.0,-1,-1,-1,-1,-1
31286,MIS-2020-09-01,2020-09-30,2021-01-31,00939,4391B,202000939,31.35,6.63,1.85,0.0,17.8,57.63,4274.51,954.75,203.77,0.0,1866.75,7299.78,1,1,1,0,1,BOISNEAU,EURL,Travaux de couverture par éléments,2008-10-06,9,0.0,-1,-1,-1,-1,-1
31287,MIS-2020-09-01,2020-09-30,2021-02-28,00945,6820B,202000945,1.5,0.0,2.6,0.0,3.78,7.88,288.0,0.0,286.39,0.0,481.34,1055.73,1,0,1,0,1,STALUCA,SARL,Location de terrains et d'autres biens immobiliers,1900-01-01,1,362454.48,1,340,877,640,1
29701,MIS-2020-12-01,2020-12-31,2021-06-30,00963,8621Z,202000963,10.8,4.3,0.0,2.25,0.0,17.35,1261.46,480.05,0.0,153.93,0.0,1895.44,1,1,0,1,0,PENISSON,IND,,2025-05-11 00:36:05.099529,0,0.0,-1,-1,-1,-1,-1
29702,MIS-2020-12-01,2020-12-31,2021-03-31,00972,4120A,202000972,32.4,18.1,3.0,47.65,10.6,111.75,3323.95,1944.45,310.29,3601.55,1062.15,10242.39,1,1,1,1,1,CONSTRUCTION BELLES SARTHOISES,SARL,Construction de maisons individuelles,1999-01-01,6,549531.11,0,136,712,769,0
29703,MIS-2020-12-01,2020-12-31,2021-05-31,01002,6820A,202001002,5.35,0.08,0.0,2.75,0.0,8.18,451.37,7.61,0.0,177.05,0.0,636.03,1,1,0,1,0,SANDRINE,SCI,Location de logements,1999-05-03,0,0.0,-1,-1,-1,-1,-1
31288,MIS-2020-09-01,2020-09-30,2021-01-31,01007,4619A,202001007,52.2,21.85,3.4,0.0,5.35,82.8,6088.93,2872.62,644.82,0.0,692.1,10298.47,1,1,1,0,1,P.P.P.L,SA,Centrales d'achat non alimentaires,1999-05-10,0,0.0,-1,-1,-1,-1,-1
29704,MIS-2020-12-01,2020-12-31,2021-05-31,01011,0161Z,202001011,43.3,8.85,2.6,0.0,0.15,54.9,4555.3,1093.47,309.9,0.0,19.1,5977.77,1,1,1,0,1,BELLANGER,EURL,Activités de soutien aux cultures,1999-05-20,0,1063376.62,0,56,56,5,1
29705,MIS-2020-12-01,2020-12-31,2021-04-30,01024,6820B,202001024,5.5,6.8,0.15,0.0,0.0,12.45,609.68,696.19,28.5,0.0,0.0,1334.37,1,1,1,0,0,KHA CHHUOK,SCI,Location de terrains et d'autres biens immobiliers,1999-07-22,0,36884.99,0,74,38,91,0
29630,MIS-2020-11-01,2020-11-30,2021-05-31,01074,2562B,202001074,60.0,21.35,5.55,0.0,0.0,86.9,8144.64,3290.25,789.17,0.0,0.0,12224.06,1,1,1,0,0,ANCENIENNE DE SERRURERIE,SARL,Mécanique industrielle,2000-01-01,0,3936039.78,0,8,125,4,1
29706,MIS-2020-12-01,2020-12-31,2021-05-10,01076,2920Z,202001076,61.1,8.9,0.0,0.0,0.45,70.45,6358.55,961.57,0.0,0.0,51.23,7371.35,1,1,0,0,1,ATLANTIC TRUCKS SERVICES,SAS,Fabrication de carrosseries et remorques,2012-04-30,25,0.0,-1,-1,-1,-1,-1
29707,MIS-2020-12-01,2020-12-31,2021-04-30,01077,6420Z,202001077,6.45,1.65,0.0,0.0,0.0,8.1,669.3,177.61,0.0,0.0,0.0,846.91,1,1,0,0,0,MVG,SARL,Activités des sociétés holding,2012-04-30,0,0.0,0,4,24,5506,0
29708,MIS-2020-12-01,2020-12-31,2021-05-07,01086,6820B,202001086,3.65,1.34,0.0,1.0,0.0,5.99,362.99,127.42,0.0,78.11,0.0,568.52,1,1,0,1,0,CREA 2000,SCI,Location de terrains et d'autres biens immobiliers,1900-01-01,0,0.0,-1,-1,-1,-1,-1
29568,MIS-2020-10-01,2020-10-31,2021-04-07,01089,5610A,202001089,20.95,25.85,2.05,21.95,5.75,76.55,2229.21,2859.38,225.82,1658.52,591.06,7563.99,1,1,1,1,1,PETITE MAISON,EURL,Restauration traditionnelle,2000-02-01,19,399434.9,1,9,1121,195,1
29709,MIS-2020-12-01,2020-12-31,2021-05-31,01090,6820B,202001090,2.45,0.25,0.0,0.5,0.0,3.2,283.55,24.15,0.0,48.3,0.0,356.0,1,1,0,1,0,DUCROS,SCI,Location de terrains et d'autres biens immobiliers,2000-02-01,0,24000.0,0,4,30,42,0
29710,MIS-2020-12-01,2020-12-31,2021-02-28,01091,6820B,202001091,0.0,0.6,0.0,0.0,0.0,0.6,0.0,67.32,0.0,0.0,0.0,67.32,0,1,0,0,0,GARMO,SCI,,2014-02-20,0,0.0,-1,-1,-1,-1,-1
29711,MIS-2020-12-01,2020-12-31,2021-04-30,01133,6820B,202001133,2.4,0.0,0.55,0.25,0.0,3.2,249.86,0.0,50.84,15.65,0.0,316.35,1,0,1,1,0,PIARDIERE,SCI,Location de terrains et d'autres biens immobiliers,2000-06-22,0,0.0,-1,-1,-1,-1,-1
31289,MIS-2020-09-01,2020-09-30,2021-01-31,01152,1721B,202001152,31.85,7.2,3.5,0.7,18.75,62.0,3580.9,917.78,395.62,66.48,2425.54,7386.32,1,1,1,1,1,ARISTEE,SARL,Fabrication de cartonnages,2000-09-25,12,0.0,-1,-1,-1,-1,-1
29712,MIS-2020-12-01,2020-12-31,2021-05-31,01156,4673A,202001156,24.2,24.1,3.55,0.18,8.45,60.48,3476.62,3083.85,397.59,17.39,845.9,7821.35,1,1,1,1,1,AGI,SARL,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,2001-01-16,6,0.0,-1,-1,-1,-1,-1
29713,MIS-2020-12-01,2020-12-31,2021-06-30,01167,4778C,202001167,35.5,40.38,2.55,0.0,26.65,105.08,4006.74,4823.24,297.51,0.0,2850.41,11977.9,1,1,1,0,1,LA MAISON D'ADAM,EURL,Autres commerces de détail spécialisés divers,2001-01-01,11,0.0,-1,-1,-1,-1,-1
29714,MIS-2020-12-01,2020-12-31,2021-04-30,01180,6820A,202001180,4.4,0.38,0.0,0.25,0.0,5.03,450.59,38.59,0.0,23.64,0.0,512.82,1,1,0,1,0,RUBIS,SCI,Location de logements,2001-02-20,0,0.0,-1,-1,-1,-1,-1
29715,MIS-2020-12-01,2020-12-31,2021-04-09,01243,8299Z,202001243,36.15,14.33,0.0,22.38,0.0,72.86,3714.58,1424.51,0.0,1948.02,0.0,7087.11,1,1,0,1,0,CENTRE COMMERCIAL GRAND MAINE,GIE,Autres activités de soutien aux entreprises n.c.a.,2001-10-29,0,0.0,-1,-1,-1,-1,-1
29716,MIS-2020-12-01,2020-12-31,2021-05-31,01244,6820A,202001244,7.0,1.6,0.0,0.35,0.0,8.95,746.22,193.77,0.0,33.81,0.0,973.8,1,1,0,1,0,DES ILES,SCI,Location de logements,2001-11-01,0,81778.84,0,71,25,133,0
29717,MIS-2020-12-01,2020-12-31,2021-05-31,01267,9499Z,202001267,7.25,6.55,0.0,12.51,0.0,26.31,701.39,563.87,0.0,1070.8,0.0,2336.06,1,1,0,1,0,ASSO COMMERCANTS CHOLET,ASS,,2001-12-12,0,0.0,-1,-1,-1,-1,-1
29718,MIS-2020-12-01,2020-12-31,2021-05-31,01268,9499Z,202001268,6.55,5.4,0.0,11.8,0.0,23.75,637.78,463.92,0.0,1008.65,0.0,2110.35,1,1,0,1,0,ASS COMMERCANTS BEAUJOIRE,ASS,,2001-12-12,0,0.0,-1,-1,-1,-1,-1
31291,MIS-2020-09-01,2020-09-30,2021-01-31,01291,4932Z,202001291,1.35,2.5,0.0,0.0,17.24,21.09,163.83,300.61,0.0,0.0,1393.4,1857.84,1,1,0,0,1,TAXI GERFAULT,IND,Transports de voyageurs par taxis,2002-02-27,7,343423.79,0,764,731,490,0
31292,MIS-2020-09-01,2020-09-30,2021-03-15,01292,4391A,202001292,33.0,1.7,2.6,0.0,8.9,46.2,3796.55,218.36,309.1,0.0,827.45,5151.46,1,1,1,0,1,MENGUY CHARPENTE,SARL,Travaux de charpente,2002-02-27,0,0.0,-1,-1,-1,-1,-1
29719,MIS-2020-12-01,2020-12-31,2021-04-30,01293,6820A,202001293,2.75,0.0,0.0,0.0,0.0,2.75,334.79,0.0,0.0,0.0,0.0,334.79,1,0,0,0,0,S.C.I.DUBRETON,SCI,Location de logements,2002-02-27,0,36637.71,0,2,2,1,0
29720,MIS-2020-12-01,2020-12-31,2021-04-30,01294,6820B,202001294,1.35,0.0,0.2,0.0,0.0,1.55,161.08,0.0,22.55,0.0,0.0,183.63,1,0,1,0,0,LES FLAVIVES,SCI,Location de terrains et d'autres biens immobiliers,2002-02-27,0,0.0,-1,-1,-1,-1,-1
29569,MIS-2020-10-01,2020-10-31,2021-04-06,01302,5610A,202001302,56.45,29.15,1.45,7.8,21.3,116.15,5789.19,3162.11,164.91,635.78,2281.1,12033.09,1,1,1,1,1,L'ART DES METS,SARL,Restauration traditionnelle,2002-03-25,6,0.0,-1,-1,-1,-1,-1
29721,MIS-2020-12-01,2020-12-31,2021-05-31,01306,6820B,202001306,3.25,0.2,0.0,0.75,0.1,4.3,268.18,38.4,0.0,54.35,10.47,371.4,1,1,0,1,1,DEUX MAISONS,SCI,Location de terrains et d'autres biens immobiliers,2002-04-09,0,0.0,-1,-1,-1,-1,-1
29722,MIS-2020-12-01,2020-12-31,2021-06-30,01307,8690E,202001307,10.85,3.56,0.0,4.4,0.0,18.81,1198.94,342.88,0.0,318.8,0.0,1860.62,1,1,0,1,0,WEIBEL Hubert,IND,"Activités des professionnels de la rééducation, de l'appareillage et des pédicures-podologues",2002-04-09,0,0.0,-1,-1,-1,-1,-1
29723,MIS-2020-12-01,2020-12-31,2021-06-30,01308,8690E,202001308,8.6,4.14,0.0,5.05,0.0,17.79,1016.59,416.63,0.0,365.91,0.0,1799.13,1,1,0,1,0,WEIBEL Bérangère,IND,"Activités des professionnels de la rééducation, de l'appareillage et des pédicures-podologues",2002-04-09,0,0.0,-1,-1,-1,-1,-1
31293,MIS-2020-09-01,2020-09-30,2021-02-09,01351,4520A,202001351,30.45,13.55,1.8,2.0,17.15,64.95,4242.33,2295.34,173.69,141.45,1737.16,8589.97,1,1,1,1,1,GARAGE SAINT FELIX,SASU,Entretien et réparation de véhicules automobiles légers,2002-09-24,0,0.0,-1,-1,-1,-1,-1
29725,MIS-2020-12-01,2020-12-31,2021-05-31,01352,6820B,202001352,9.3,1.5,0.0,1.25,0.0,12.05,1317.66,179.82,0.0,159.01,0.0,1656.49,1,1,0,1,0,DES FORGES,SCI,Location de terrains et d'autres biens immobiliers,2002-10-04,0,0.0,-1,-1,-1,-1,-1
29726,MIS-2020-12-01,2020-12-31,2021-05-11,01367,7912Z,202001367,34.05,46.97,0.87,2.45,15.1,99.44,3629.88,5170.05,99.53,267.39,1415.67,10582.52,1,1,1,1,1,BRIDGE PLUS,SARL,Activités des voyagistes,2002-11-06,3,569282.29,1,859,798,31,0
29727,MIS-2020-12-01,2020-12-31,2021-05-10,01375,4321A,202001375,10.75,6.6,1.7,0.0,0.0,19.05,1191.65,637.51,170.52,0.0,0.0,1999.68,1,1,1,0,0,CAILLEAU BRUNO,EURL,Travaux d'installation électrique dans tous locaux,2002-12-09,0,0.0,-1,-1,-1,-1,-1
29570,MIS-2020-10-01,2020-10-31,2021-02-28,01380,4764Z,202001380,6.52,4.28,0.0,0.4,0.0,11.2,754.43,588.68,0.0,40.41,0.0,1383.52,1,1,0,1,0,ROCADE LOISIRS,SA,,2002-11-16,0,0.0,-1,-1,-1,-1,-1
29731,MIS-2020-12-01,2020-12-31,2021-04-30,01388,4941A,202001388,23.95,17.2,1.9,0.0,17.15,60.2,2834.25,1899.59,209.29,0.0,1619.12,6562.25,1,1,1,0,1,TLP SERIGNAN,EURL,Transports routiers de fret interurbains,2003-01-23,2,677026.96,0,13,98,8,1
